kind,area,space,floor,top_floor,mrt,bd,pet,elevator,parking,balcony,price
獨立套房,龍井區,15坪,4F,7F,0,0,0,1,0,1,"12,500元/月"
獨立套房,南區,11坪,3F,10F,0,0,1,1,1,1,"8,300元/月"
獨立套房,南屯區,6坪,6F,6F,0,0,1,1,1,1,"10,000元/月"
獨立套房,南屯區,10坪,5F,7F,0,1,1,1,1,0,"9,800元/月"
整層住家,北屯區,40坪,8F,26F,1,1,0,1,0,0,"32,000元/月"
獨立套房,西屯區,12坪,11F,15F,0,1,0,1,1,0,"8,500元/月"
獨立套房,西屯區,12坪,3F,10F,0,1,1,1,0,0,"6,000元/月"
獨立套房,北區,10坪,3F,5F,0,1,0,1,0,0,"6,999元/月"
整層住家,北區,16坪,4F,6F,1,1,0,0,0,0,"10,500元/月"
整層住家,北區,25坪,6F,7F,0,1,0,0,0,0,"21,000元/月"
獨立套房,霧峰區,12.4坪,5F,5F,0,0,0,1,0,1,"7,500元/月"
獨立套房,南區,7.7坪,3F,4F,0,1,0,0,0,0,"3,499元/月"
獨立套房,南屯區,8.5坪,6F,6F,0,0,1,1,1,1,"13,900元/月"
整層住家,北屯區,55坪,8F,12F,0,1,0,1,0,0,"23,999元/月"
整層住家,西屯區,35坪,7F,14F,1,1,0,1,0,0,"50,000元/月"
整層住家,西屯區,16坪,6F,10F,0,1,1,1,0,0,"10,000元/月"
整層住家,西屯區,32坪,8F,15F,0,1,0,1,0,0,"17,999元/月"
獨立套房,北區,13坪,3F,6F,0,1,0,0,0,0,"6,999元/月"
獨立套房,北區,13坪,2F,5F,0,1,0,0,0,0,"5,999元/月"
獨立套房,北區,25坪,4F,7F,1,1,0,0,0,0,"10,499元/月"
獨立套房,北區,12.8坪,2F,7F,0,1,0,1,0,0,"8,499元/月"
整層住家,北區,20坪,4F,6F,1,1,0,0,0,0,"10,499元/月"
獨立套房,北區,13坪,3F,14F,0,1,0,1,0,0,"10,799元/月"
獨立套房,大里區,16.6坪,3F,5F,0,1,0,1,0,0,"9,499元/月"
獨立套房,龍井區,13坪,6F,7F,0,1,0,1,0,0,"11,999元/月"
整層住家,西區,88坪,10F,12F,0,1,1,1,0,0,"44,999元/月"
獨立套房,西區,15坪,2F,5F,0,1,0,0,0,1,"13,500元/月"
獨立套房,西區,7坪,11F,12F,0,0,1,1,0,0,"15,500元/月"
獨立套房,西區,6坪,1F,7F,0,1,0,0,0,0,"7,500元/月"
獨立套房,西區,15坪,5F,8F,0,1,0,1,0,0,"8,199元/月"
獨立套房,西區,15.5坪,7F,14F,0,1,0,0,0,1,"12,999元/月"
整層住家,南屯區,25坪,11F,15F,1,1,0,1,0,0,"34,000元/月"
獨立套房,北屯區,10坪,2F,7F,1,1,0,1,0,0,"7,999元/月"
獨立套房,北屯區,8坪,1F,4F,0,1,1,0,0,0,"4,999元/月"
整層住家,大里區,25坪,4F,15F,0,1,0,1,1,0,"25,500元/月"
獨立套房,龍井區,13坪,2F,3F,0,1,0,1,0,0,"8,888元/月"
獨立套房,大里區,12.7坪,2F,6F,0,1,0,1,0,0,"6,999元/月"
獨立套房,龍井區,15坪,3F,7F,0,0,0,1,0,1,"12,000元/月"
獨立套房,大里區,16坪,3F,5F,0,1,0,1,0,0,"12,000元/月"
獨立套房,西區,12坪,4F,5F,0,1,0,0,0,1,"6,999元/月"
獨立套房,西區,12坪,4F,12F,0,1,0,1,0,0,"8,999元/月"
獨立套房,西區,12坪,9F,12F,0,1,0,1,0,0,"8,999元/月"
獨立套房,西區,13坪,5F,6F,0,1,0,1,0,0,"9,999元/月"
獨立套房,南屯區,15坪,4F,12F,0,1,0,1,0,0,"8,199元/月"
整層住家,北屯區,42.7坪,22F,23F,0,1,0,1,0,0,"34,000元/月"
整層住家,北屯區,32.7坪,23F,24F,0,1,0,1,1,0,"23,000元/月"
整層住家,北屯區,25坪,3F,15F,0,1,1,1,0,0,"18,999元/月"
整層住家,北屯區,20坪,10F,22F,0,1,0,1,0,0,"23,800元/月"
獨立套房,北屯區,15坪,5F,6F,1,1,0,1,0,0,"8,999元/月"
獨立套房,北屯區,9坪,6F,8F,0,1,0,1,0,0,"6,299元/月"
獨立套房,北屯區,11坪,3F,8F,0,1,0,1,0,0,"8,000元/月"
獨立套房,北屯區,10坪,3F,5F,0,1,0,0,0,0,"10,999元/月"
獨立套房,西屯區,10坪,3F,5F,0,1,0,1,0,0,"8,999元/月"
獨立套房,西屯區,16坪,5F,7F,1,1,0,1,0,0,"8,999元/月"
獨立套房,西屯區,18坪,5F,8F,1,1,0,1,0,0,"8,999元/月"
獨立套房,西屯區,16坪,4F,5F,0,1,0,0,0,1,"9,999元/月"
獨立套房,西屯區,11坪,2F,5F,1,1,0,0,0,0,"5,999元/月"
獨立套房,北區,15坪,7F,8F,0,1,0,1,0,0,"7,999元/月"
獨立套房,北區,16坪,5F,6F,0,1,0,1,0,0,"10,799元/月"
獨立套房,北區,14坪,3F,5F,0,1,0,0,0,0,"6,999元/月"
獨立套房,北區,15坪,5F,10F,0,1,0,1,0,0,"8,499元/月"
整層住家,東區,17坪,2F~4F,4F,0,1,0,0,0,0,"13,999元/月"
獨立套房,太平區,10坪,3F,6F,0,1,0,1,0,1,"5,999元/月"
獨立套房,太平區,10坪,7F,9F,0,1,0,0,0,1,"7,099元/月"
獨立套房,南區,6坪,1F,3F,0,1,1,0,0,0,"5,499元/月"
獨立套房,西區,10坪,7F,8F,0,1,0,1,0,1,"8,000元/月"
獨立套房,西區,12坪,10F,12F,0,1,0,1,0,0,"7,999元/月"
獨立套房,西區,20坪,7F,8F,0,1,0,1,0,0,"16,999元/月"
獨立套房,西區,13坪,9F,12F,0,1,0,1,0,0,"8,599元/月"
獨立套房,南屯區,15坪,2F,6F,0,1,0,1,0,0,"14,500元/月"
分租套房,北屯區,6坪,4F,5F,0,1,0,0,0,0,"4,500元/月"
整層住家,北屯區,23坪,4F,15F,0,1,0,1,0,0,"23,500元/月"
整層住家,北屯區,30坪,5F,15F,0,1,0,1,0,0,"33,000元/月"
整層住家,北屯區,30坪,4F,15F,0,1,0,1,0,0,"26,500元/月"
整層住家,北屯區,22坪,3F,5F,1,1,0,0,0,0,"23,000元/月"
獨立套房,西屯區,15坪,9F,20F,0,1,0,1,1,0,"13,000元/月"
獨立套房,西屯區,10坪,3F,5F,1,1,0,1,0,0,"7,999元/月"
